SSEC,SCI,FTSE100,DAX30,CAC40
2852.65,12714.51,6013.87,6989.74,3900.86
2838.59,12647.63,6043.86,6975.35,3916.03
2824.2,12599.66,6019.51,6939.82,3904.61
2838.8,12573.94,5984.33,6981.39,3904.42
2791.81,12331.16,5956.3,6947.84,3865.58
2804.05,12385.17,6014.03,6857.06,3802.03
2821.3,12409.98,6050.72,6941.57,3861.92
2827.71,12423.34,6023.88,7068.78,3945.07
2791.34,12294.17,6002.07,7075.11,3974.83
2706.66,11734.62,5985.7,7075.7,3983.28
2708.98,11771.59,6056.43,7078.06,3975.41
2758.1,12066.55,5976.7,7143.45,4012.68
2677.65,11566.74,5867.91,7082.76,3976.71
2715.29,11639.96,5896.25,7024.27,3964.84
2695.72,11488.92,5943.85,7062.42,4017.45
2677.43,11446.37,5917.71,7067.77,4033.21
2708.81,11599.67,5969.21,7059.01,4019.62
2749.15,11795.33,5965.08,7127.35,4049.07
2752.75,11894.23,5881.37,7155.58,4059.57
2790.69,11994.68,5862.94,7102.8,4002.32
2798.96,11991.51,5957.82,7077.48,4005.5
2774.06,11807.93,6000.07,7184.27,4072.62
2818.16,12170.51,5983.34,7183.67,4066.53
2827.33,12292.49,5997.38,7193.68,4036.59
2899.13,12737.8,6051.03,7216.21,4047.21
2899.24,12711.58,6091.33,7283.62,4090.8
2923.9,12884.87,6052.29,7323.24,4108.27
2926.96,12788.33,6020.01,7320.9,4090.74
2899.79,12613.11,6062.9,7340.28,4095.14
2932.25,12872.47,6060.09,7371.2,4101.31
2855.52,12473.33,6037.08,7396.63,4096.62
2862.63,12492.71,6085.27,7400.04,4110.34
2878.6,12578.43,6087.38,7414.3,4151.26
2878.56,12633.88,6082.99,7405.51,4152.31
2905.05,12902.43,6014.8,7426.81,4157.14
2918.92,12948.72,5996.76,7321.81,4097.41
2913.81,12880.27,5923.53,7318.35,4050.27
2902.98,12698.16,5919.98,7194.6,4013.12
2942.31,12893.84,6001.2,7130.5,4009.64
2996.21,13140.88,5994.01,7185.17,4070.38
2999.94,13144.18,5935.76,7272.32,4110.35
3002.15,13158.21,5914.89,7223.3,4067.15
2957.14,13004.86,6005.09,7181.12,4034.32
2933.8,12848.02,5990.39,7225.96,4060.76
2937.63,12958.29,5973.78,7178.9,4020.21
2896.26,12705.32,5974.76,7161.93,3990.41
2930.8,12865.75,5937.3,7164.75,4015.91
2897.3,12650.67,5845.29,7131.8,3993.81
2906.89,12721.99,5828.67,7063.09,3963.99
2909.14,12643.73,5775.24,6981.49,3928.68
2919.14,12667.26,5695.28,6866.63,3878.04
2948.48,12845.53,5598.23,6647.66,3780.85
2946.71,12771.46,5696.11,6513.84,3696.56
2977.81,12942.07,5718.13,6656.88,3786.21
2984,12875.52,5786.09,6664.4,3810.22
2958.08,12677.61,5762.71,6816.12,3904.45
2955.77,12661.22,5795.88,6780.97,3892.71
2928.11,12562.9,5880.87,6804.45,3913.73
2967.41,12699.42,5900.76,6933.58,3968.84
3001.36,12740.87,5904.49,6946.36,3972.38
3007.91,12890.66,5932.17,6938.63,3976.95
3030.02,13036.23,5948.3,6934.44,3987.8
3022.75,12925.05,5908.76,7057.15,4024.44
3021.37,12902.22,6009.92,7041.31,3989.18
3050.4,13102.08,6016.98,7179.81,4054.76
3042.64,12991.92,6007.06,7175.33,4042.92
3050.53,12965.75,6041.13,7175.31,4041.74
3057.33,13001.33,6007.37,7215.11,4048.16
2999.04,12799.24,6055.75,7178.78,4028.3
3007.04,12753.85,6053.44,7217.02,4061.91
3026.67,12798.75,5964.47,7204.86,4038.7
3010.52,12708.42,6010.44,7102.91,3976.6
2964.95,12508.01,5963.8,7177.97,4006.23
2938.98,12448.48,5996.01,7146.56,3970.39
2925.41,12358.88,5870.08,7178.29,3974.48
2887.04,12149.25,5896.87,7026.85,3881.24
2911.51,12312.99,6022.26,7039.31,3908.58
2932.19,12423.46,6018.3,7249.19,4004.62
2866.02,12070.41,6069.36,7295.49,4021.88
2872.4,12085.99,6068.16,7356.51,4045.29
2863.89,12067.61,6069.9,7404.95,4067.72
2872.46,12125.01,6082.88,7475.22,4104.9
2890.63,12216.94,5984.07,7514.46,4106.92
2883.42,12202.62,5919.98,7527.64,4108.77
2844.08,12072.21,5976.77,7500.7,4096.84
2871.03,12156.61,5942.69,7373.93,4043.13
2849.07,12051.24,6018.89,7376.96,4004.87
2852.77,12128.5,5976,7492.25,4058.01
2872.77,12230.69,5944.96,7410.52,4007.26
2859.57,12158.11,5925.87,7501.52,4052.51
2858.46,12161.03,5923.69,7495.05,4058.08
2774.57,11742.19,5861,7443.95,4023.29
2767.06,11749.92,5923.49,7403.31,4018.85
2741.74,11615.42,5955.99,7387.54,3989.82
2736.53,11530.7,5948.49,7256.65,3941.58
2709.95,11492.71,5835.89,7303.53,3978
2706.36,11478.21,5858.41,7358.23,4027.74
2743.47,11665.14,5870.14,7266.82,3990.85
2743.57,11699.83,5880.99,7121.52,3906.98
2705.18,11506.52,5938.87,7150.66,3916.88
2728.02,11642.4,5989.99,7170.94,3928.99
2744.3,11741.26,5928.61,7114.09,3917.22
2750.29,11761.1,5847.92,7163.47,3950.98
2703.34,11513.2,5855.01,7160.3,3942.53
2705.14,11593.38,5863.16,7293.69,4006.94
2700.38,11521.98,5864.65,7217.43,3964.81
2730.04,11732.04,5808.89,7074.12,3889.87
2705.43,11615.97,5856.34,7109.03,3890.68
2664.28,11435.99,5765.8,7084.57,3863.4
2642.82,11409.16,5773.46,7103.25,3871.92
2621.25,11328.67,5803.13,7060.23,3837.98
2646.48,11509.98,5742.55,7159.66,3878.65
2649.32,11543.65,5698.81,7069.9,3805.09
2688.25,11775.32,5714.94,7085.14,3807.61
2746.21,11996.08,5693.39,7204.79,3864.58
2758.23,12026.29,5775.31,7115.08,3806.85
2759.2,12047.09,5772.99,7110.2,3792.31
2728.48,11913.2,5674.38,7164.05,3823.74
2762.08,12110.93,5697.72,7150.21,3799.66
2759.36,12178.08,5722.34,7285.51,3877.07
2812.82,12441.17,5766.88,7278.19,3871.37
2816.35,12440.37,5855.95,7149.44,3787.79
2810.48,12425.68,5945.71,7121.38,3784.8
2794.27,12392.93,5989.76,7107.9,3796.55
2797.77,12404.34,6017.54,7170.43,3851.89
2802.69,12438.56,6024.03,7294.14,3924.23
2754.58,12268.19,6002.92,7376.24,3982.21
2795.48,12479.15,6054.55,7419.44,4007.35
2810.44,12440.83,5990.58,7442.96,4003.11
2820.17,12506.94,5929.16,7439.44,3978.83
2816.69,12490.55,5868.96,7431.19,3961.34
2796.98,12381.46,5906.43,7471.44,3979.96
2794.21,12393.99,5846.95,7402.73,3913.55
2765.89,12301.41,5843.66,7230.25,3807.51
2770.79,12352.5,5752.81,7174.14,3774.12
2688.75,11966.24,5789.99,7267.87,3793.27
2703.03,12008.53,5853.82,7214.74,3751.23
2723.49,12116.86,5899.89,7220.12,3726.59
2708.78,12085.92,5935.02,7107.92,3650.71
2701.73,11990.43,5925.26,7192.67,3694.95
2703.78,12002.42,5929.73,7221.36,3754.6
2679.26,11932.04,5856.58,7290.14,3816.75
2678.49,11922.37,5873.21,7326.39,3842.7
2684.04,11934.41,5815.19,7344.54,3812.97
2626.42,11701.76,5774.43,7349.45,3787.88
2526.82,11312.63,5718.39,7252.68,3734.07
2526.07,11315.08,5584.51,7190.06,3712.66
2549.18,11449.58,5393.14,7158.77,3672.77
2581.51,11627.49,5246.99,6953.98,3588.05
2593.17,11651.29,5068.95,6796.75,3522.79
2626.77,11767.74,5164.92,6640.59,3454.94
2608.17,11665.41,5007.16,6414.76,3320.35
2601.26,11598.28,5162.83,6236.16,3278.56
2559.47,11414.16,5320.03,5923.27,3125.19
2534.36,11301.53,5350.58,5917.08,3176.19
2515.86,11112.64,5357.63,5613.42,3002.99
2554.02,11243.42,5331.6,5797.66,3089.66
2541.09,11238.95,5092.23,5997.74,3213.88
2615.26,11598.93,5040.76,6022.24,3239.06
2612.19,11568.17,5095.3,5994.9,3230.9
2576.41,11372.38,5129.42,5948.94,3254.34
2566.59,11344.45,5205.85,5602.8,3076.04
